Smiles,DC50 (nM),Sensor,Dmax (%),"IC50 (nM, Protac to Target)","IC50 (nM, Cellular activities)",Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
NC(=O)C1=C(N)N([C@@H]2CCCN(C(=O)COCCOCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)N=C1C1=CC=C(OC2=CC=C(F)C=C2F)C=C1,96.9,0,85/70,,,991.015,990.3934903,3.53,-5.02,71,7,17,4,27,267.43
NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2C1CCN(CCOCCOCC(=O)NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)CC1,11.9,0,>99/(n/a),46.9,,787.834,787.3078093,3.25,-5.04,58,8,14,3,14,213.2
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCC3=CN(CCNC(=O)C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C5=C(SC(C)=C5C)N5C(C)=NN=C45)N=N3)C(C)(C)C)C=C2)SC=N1,276.5,0,,,,1039.686,1038.375962,4.25,-5,72,8,17,4,19,232.97
NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(C(=O)C2=CN(CCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C1,6.3,0,,95,,912.965,912.3667211,3.4,-4.89,67,9,18,3,19,253.14
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCNC(=O)C3=CC=C(C4=CN=C(NCC5=CC=CO5)N5C=NN=C45)C=C3)C(C)(C)C)C=C2)SC=N1,700,0,92/94,247,,832.988,832.3479003,3.56,-4.58,60,7,13,5,15,208.98
COC1=CC(C(=O)NCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)=CC=C1NC1=NC=C(C(F)(F)F)C(OC2=CC=CC3=C2C(=O)CC3)=N1,278.7,0,79/65/87,,19953/>25119/7943,1061.15,1060.39761,4.73,-5.72,75,7,16,5,23,241.76
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCOC3=CC=C(/C=N/NC(=O)C4=CC=C(C(=O)C5=C(C6=CC=C(O)C=C6)SC6=CC(O)=CC=C56)C=C4)C=C3)C(C)(C)C)C=C2)SC=N1,9,0,95/98,,69.1/65.2,1035.258,1034.370669,7.5,-6.16,74,8,13,6,18,219.85
CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)N2CCC(N3CCC(C#CC4=CC=C(C(=O)N[C@H]5C(C)(C)[C@H](OC6=CC=C(C#N)C(Cl)=C6)C5(C)C)C=C4)CC3)CC2)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,4.1,0,>95/>95,,02-Feb,1095.808,1094.485495,6.89,-4.55,78,9,12,3,14,194.23
CCCCN(CC1=CC=C(C(=O)NO)C=C1)C(=O)NC1=CC=C(OCCCCCCCCCCCN2C=C(CCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)N=N2)C=C1,5.7,0,90/57,,,1091.434,1090.603781,6.93,-5.64,78,6,13,6,31,233.24
NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(CCCCCCC#CC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)C3=CC4=CC(C(F)(F)P(=O)(O)O)=CC=C4[NH]3)C(=O)N12)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1,784.5,0,,,147/>100000,1144.183,1143.443097,3.99,-5.67,82,9,10,8,20,293.74
CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)CCCCCC#CC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)C3=CC4=CC(C(F)(F)P(=O)(O)O)=CC=C4[NH]3)C(=O)N12,765,0,,,226/>10000,1005.97,1005.359761,1.99,-5.51,71,7,10,8,16,310.81
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC3=CN(CCNC(=O)C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C5=C(SC(C)=C5C)N5C(C)=NN=C45)N=N3)C(C)(C)C)C=C2)SC=N1,1680,0,,,,1171.845,1170.454606,4.53,-5.22,81,8,20,4,28,260.66
