DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
96.9,991.015,990.3934903,3.53,-5.02,71,7,17,4,27,267.43
11.9,787.834,787.3078093,3.25,-5.04,58,8,14,3,14,213.2
276.5,1039.686,1038.375962,4.25,-5,72,8,17,4,19,232.97
6.3,912.965,912.3667211,3.4,-4.89,67,9,18,3,19,253.14
700,832.988,832.3479003,3.56,-4.58,60,7,13,5,15,208.98
278.7,1061.15,1060.39761,4.73,-5.72,75,7,16,5,23,241.76
9,1035.258,1034.370669,7.5,-6.16,74,8,13,6,18,219.85
4.1,1095.808,1094.485495,6.89,-4.55,78,9,12,3,14,194.23
5.7,1091.434,1090.603781,6.93,-5.64,78,6,13,6,31,233.24
784.5,1144.183,1143.443097,3.99,-5.67,82,9,10,8,20,293.74
765,1005.97,1005.359761,1.99,-5.51,71,7,10,8,16,310.81
1680,1171.845,1170.454606,4.53,-5.22,81,8,20,4,28,260.66
24.7,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
44,1158.166,1157.422361,3.67,-5.69,83,9,10,8,19,310.81
4.65,936.124,935.4163944,4.55,-5.83,67,8,14,5,16,208.6
4.3,1115.913,1114.537548,5.09,-6.04,77,7,15,6,22,245.34
556.7,1132.805,1131.493121,5.95,-5.22,80,9,15,3,20,209.69
304.5,995.633,994.3497472,4.13,-4.95,69,8,16,4,16,223.74
29,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
46.5,984.764,984.237789,4.32,-5.34,62,5,14,5,28,204.12
750,785.283,784.2194442,3.42,-5.07,55,7,12,3,12,194.05
30.5,1159.154,1158.41761,3.13,-5.67,83,9,10,9,18,322.84
111.8,946.962,946.3672755,3.52,-4.95,68,7,16,4,24,258.2
495,781.255,780.1993775,3.29,-4.58,55,8,14,2,10,195.66
48.69,998.883,997.2933781,4.92,-5.09,68,7,13,4,21,215.72
2060,1127.792,1126.428391,4.48,-5.11,78,8,19,4,25,251.43
350,913.414,912.2780217,3.46,-4.79,64,8,17,2,19,223.35
35,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
58.7,1061.15,1060.39761,4.73,-5.72,75,7,16,5,23,241.76
9.85,1122.414,1121.608908,7.22,-6.78,82,8,12,4,29,186.46
47.5,932.935,932.3516255,3.68,-4.96,67,7,16,4,22,258.2
138,917.851,917.2843544,3.83,-5.15,66,7,15,4,20,242.78
387.7,1030.62,1029.366189,6.86,-6.63,73,8,13,4,21,186.36
34,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
217.7,888.882,888.3254107,3.66,-4.9,64,7,15,4,19,248.97
27.15,997.939,996.3345146,5.8,-5.43,68,7,11,3,22,186.62
23.8,936.124,935.4163944,4.55,-5.83,67,8,14,5,16,208.6
26.7,1076.078,1075.371386,6.94,-6.23,68,5,10,6,25,174.02
70,854.34,853.3114507,4.5,-4.79,61,7,12,4,17,195.27
65,868.367,867.3271007,4.79,-4.9,62,7,12,4,18,195.27
65,883.969,883.3880317,5.44,-5.29,64,9,11,3,11,166.41
485,832.988,832.3479003,3.56,-4.58,60,7,13,5,15,208.98
26,1010.203,1009.379044,5.1,-5.74,71,8,12,5,16,210.03
21.7,917.851,917.2843544,3.83,-5.15,66,7,15,4,20,242.78
75,1118.777,1117.416824,4.12,-5.55,77,8,18,4,5,239.18
105,917.851,917.2843544,3.83,-5.15,66,7,15,4,20,242.78
385,1132.805,1131.493121,5.95,-5.22,80,9,15,3,20,209.69
68,1061.15,1060.39761,4.73,-5.72,75,7,16,5,23,241.76
302,1061.15,1060.39761,4.73,-5.72,75,7,16,5,23,241.76
144.5,1160.138,1159.401626,3.33,-5.7,83,9,11,8,18,320.04
955,1083.739,1082.402177,4.37,-5.08,75,8,18,4,22,242.2
25.6,998.883,997.2933781,4.92,-5.09,68,7,13,4,21,215.72
275,1082.068,1081.391061,2.81,-5.63,77,8,10,8,18,310.81
245.9,902.909,902.3410608,3.64,-4.91,65,7,15,4,21,248.97
215,1061.269,1060.493955,3.96,-5.82,75,6,16,6,30,273.23
